Training config | heldout=ZDT1 | training_set=1 | envs=24 | workers=24 | reward_scheme=1 | policy=epsilon_greedy | surrogate=tabpfn | sampling_backend=tabpfn_gpu_sync | epochs=50 | sur_steps=5 | updates_per_epoch=80 | train_device=cuda | rollout_device=cpu | surrogate_device=cuda | lr=1.0e-04 | batch_size=64 | replay_size=50000 | gamma=1.0000 | target_update=20 | log_path=training_logs\tabpfn_trainer_zdt1_set1_20260518_164809.txt
[Epoch 0001] start | set=1 | heldout=ZDT1 | envs_active=24/24 | surrogate=tabpfn | sur_steps=5 | eps=0.300
[TabPFN sync] step=007 | sigma | mode=std | envs=24 | points=462 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.000 | gen_cycle_sec=0.000 | query_transform_sec=0.000 | batch_prepare_sec=0.014 | gpu_forward_sec=0.233 | postprocess_sec=0.013 | fallback_used=0 | fallback_reason=- | time_sec=0.262
[TabPFN sync] step=008 | gen=001/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.018 | gen_cycle_sec=0.468 | query_transform_sec=0.000 | batch_prepare_sec=0.014 | gpu_forward_sec=0.420 | postprocess_sec=0.010 | fallback_used=0 | fallback_reason=- | time_sec=0.449
[TabPFN sync] step=008 | gen=002/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.037 | gen_cycle_sec=0.308 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.251 | postprocess_sec=0.010 | fallback_used=0 | fallback_reason=- | time_sec=0.269
[TabPFN sync] step=008 | gen=003/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.040 | gen_cycle_sec=0.311 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.252 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.269
[TabPFN sync] step=008 | gen=004/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.040 | gen_cycle_sec=0.310 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.251 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.269
[TabPFN sync] step=008 | gen=005/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.042 | gen_cycle_sec=0.312 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.252 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.269
[TabPFN sync] step=008 | sigma | mode=std | envs=24 | points=447 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.000 | gen_cycle_sec=0.000 | query_transform_sec=0.000 | batch_prepare_sec=0.007 | gpu_forward_sec=0.248 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.266
[TabPFN sync] step=009 | gen=001/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.010 | gen_cycle_sec=0.458 | query_transform_sec=0.000 | batch_prepare_sec=0.008 | gpu_forward_sec=0.428 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.447
[TabPFN sync] step=009 | gen=002/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.039 | gen_cycle_sec=0.311 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.255 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.272
[TabPFN sync] step=009 | gen=003/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.039 | gen_cycle_sec=0.312 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.255 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.272
[TabPFN sync] step=009 | gen=004/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.041 | gen_cycle_sec=0.314 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.255 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.272
[TabPFN sync] step=009 | gen=005/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.041 | gen_cycle_sec=0.314 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.255 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.272
[TabPFN sync] step=009 | sigma | mode=std | envs=24 | points=411 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.000 | gen_cycle_sec=0.000 | query_transform_sec=0.000 | batch_prepare_sec=0.007 | gpu_forward_sec=0.220 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.238
[TabPFN sync] step=010 | gen=001/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.009 | gen_cycle_sec=0.529 | query_transform_sec=0.000 | batch_prepare_sec=0.008 | gpu_forward_sec=0.493 | postprocess_sec=0.015 | fallback_used=0 | fallback_reason=- | time_sec=0.518
[TabPFN sync] step=010 | gen=002/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.041 | gen_cycle_sec=0.318 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.255 | postprocess_sec=0.013 | fallback_used=0 | fallback_reason=- | time_sec=0.276
[TabPFN sync] step=010 | gen=003/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.041 | gen_cycle_sec=0.329 | query_transform_sec=0.000 | batch_prepare_sec=0.012 | gpu_forward_sec=0.258 | postprocess_sec=0.014 | fallback_used=0 | fallback_reason=- | time_sec=0.286
[TabPFN sync] step=010 | gen=004/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.040 | gen_cycle_sec=0.322 | query_transform_sec=0.000 | batch_prepare_sec=0.011 | gpu_forward_sec=0.255 | postprocess_sec=0.013 | fallback_used=0 | fallback_reason=- | time_sec=0.281
[TabPFN sync] step=010 | gen=005/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.041 | gen_cycle_sec=0.327 | query_transform_sec=0.000 | batch_prepare_sec=0.013 | gpu_forward_sec=0.256 | postprocess_sec=0.014 | fallback_used=0 | fallback_reason=- | time_sec=0.285
[TabPFN sync] step=010 | sigma | mode=std | envs=24 | points=444 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.000 | gen_cycle_sec=0.000 | query_transform_sec=0.000 | batch_prepare_sec=0.012 | gpu_forward_sec=0.211 | postprocess_sec=0.013 | fallback_used=0 | fallback_reason=- | time_sec=0.238
[TabPFN sync] step=011 | gen=001/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.013 | gen_cycle_sec=0.372 | query_transform_sec=0.000 | batch_prepare_sec=0.008 | gpu_forward_sec=0.333 | postprocess_sec=0.014 | fallback_used=0 | fallback_reason=- | time_sec=0.358
[TabPFN sync] step=011 | gen=002/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.040 | gen_cycle_sec=0.312 | query_transform_sec=0.000 | batch_prepare_sec=0.008 | gpu_forward_sec=0.249 | postprocess_sec=0.012 | fallback_used=0 | fallback_reason=- | time_sec=0.272
