Training config | heldout=ZDT1 | training_set=1 | envs=24 | workers=24 | reward_scheme=1 | policy=epsilon_greedy | surrogate=tabpfn | sampling_backend=tabpfn_gpu_sync | epochs=50 | sur_steps=2 | updates_per_epoch=80 | train_device=cuda | rollout_device=cpu | surrogate_device=cuda | lr=1.0e-04 | batch_size=64 | replay_size=50000 | gamma=1.0000 | target_update=20 | log_path=training_logs\tabpfn_trainer_zdt1_set1_20260518_152033.txt
[Epoch 0001] start | set=1 | heldout=ZDT1 | envs_active=24/24 | surrogate=tabpfn | sur_steps=2 | eps=0.300
[TabPFN sync] step=016 | gen=001/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.017 | query_transform_sec=0.000 | batch_prepare_sec=0.009 | gpu_forward_sec=0.736 | postprocess_sec=0.012 | fallback_used=0 | fallback_reason=- | time_sec=0.762
[TabPFN sync] step=016 | gen=002/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.042 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.611 | postprocess_sec=0.014 | fallback_used=0 | fallback_reason=- | time_sec=0.633
[TabPFN sync] step=016 | sigma | mode=std | envs=24 | points=197 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.000 | query_transform_sec=0.000 | batch_prepare_sec=0.007 | gpu_forward_sec=0.553 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.571
[TabPFN sync] step=017 | gen=001/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.010 | query_transform_sec=0.000 | batch_prepare_sec=0.008 | gpu_forward_sec=1.496 | postprocess_sec=0.015 | fallback_used=0 | fallback_reason=- | time_sec=1.523
[TabPFN sync] step=017 | gen=002/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.042 | query_transform_sec=0.000 | batch_prepare_sec=0.011 | gpu_forward_sec=1.351 | postprocess_sec=0.020 | fallback_used=0 | fallback_reason=- | time_sec=1.384
[TabPFN sync] step=017 | sigma | mode=std | envs=24 | points=152 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.000 | query_transform_sec=0.000 | batch_prepare_sec=0.013 | gpu_forward_sec=0.726 | postprocess_sec=0.011 | fallback_used=0 | fallback_reason=- | time_sec=0.755
[TabPFN sync] step=018 | gen=001/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.017 | query_transform_sec=0.000 | batch_prepare_sec=0.008 | gpu_forward_sec=2.101 | postprocess_sec=0.297 | fallback_used=0 | fallback_reason=- | time_sec=2.408
[TabPFN sync] step=018 | gen=002/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.043 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=2.250 | postprocess_sec=0.013 | fallback_used=0 | fallback_reason=- | time_sec=2.272
[TabPFN sync] step=018 | sigma | mode=std | envs=24 | points=207 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.000 | query_transform_sec=0.000 | batch_prepare_sec=0.010 | gpu_forward_sec=0.972 | postprocess_sec=0.254 | fallback_used=0 | fallback_reason=- | time_sec=1.239
[TabPFN sync] step=019 | gen=001/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.014 | query_transform_sec=0.000 | batch_prepare_sec=0.013 | gpu_forward_sec=2.540 | postprocess_sec=0.147 | fallback_used=0 | fallback_reason=- | time_sec=2.703
[TabPFN sync] step=019 | gen=002/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.042 | query_transform_sec=0.000 | batch_prepare_sec=0.011 | gpu_forward_sec=2.782 | postprocess_sec=0.147 | fallback_used=0 | fallback_reason=- | time_sec=2.943
[TabPFN sync] step=019 | sigma | mode=std | envs=24 | points=211 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.000 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=1.751 | postprocess_sec=0.368 | fallback_used=0 | fallback_reason=- | time_sec=2.129
[TabPFN sync] step=020 | gen=001/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.013 | query_transform_sec=0.000 | batch_prepare_sec=0.008 | gpu_forward_sec=1.901 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=1.923
[TabPFN sync] step=020 | gen=002/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.040 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=1.326 | postprocess_sec=0.405 | fallback_used=0 | fallback_reason=- | time_sec=1.741
[TabPFN sync] step=020 | sigma | mode=std | envs=24 | points=273 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.000 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.709 | postprocess_sec=0.319 | fallback_used=0 | fallback_reason=- | time_sec=1.038
[TabPFN sync] step=021 | gen=001/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.012 | query_transform_sec=0.000 | batch_prepare_sec=0.008 | gpu_forward_sec=1.014 | postprocess_sec=0.016 | fallback_used=0 | fallback_reason=- | time_sec=1.042
[TabPFN sync] step=021 | gen=002/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.042 | query_transform_sec=0.000 | batch_prepare_sec=0.013 | gpu_forward_sec=0.870 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.895
[TabPFN sync] step=021 | sigma | mode=std | envs=24 | points=230 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.000 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.316 | postprocess_sec=0.010 | fallback_used=0 | fallback_reason=- | time_sec=0.335
[TabPFN sync] step=022 | gen=001/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.017 | query_transform_sec=0.000 | batch_prepare_sec=0.014 | gpu_forward_sec=1.024 | postprocess_sec=0.013 | fallback_used=0 | fallback_reason=- | time_sec=1.058
[TabPFN sync] step=022 | gen=002/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.042 | query_transform_sec=0.000 | batch_prepare_sec=0.012 | gpu_forward_sec=0.898 | postprocess_sec=0.013 | fallback_used=0 | fallback_reason=- | time_sec=0.927
[TabPFN sync] step=022 | sigma | mode=std | envs=24 | points=233 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.000 | query_transform_sec=0.000 | batch_prepare_sec=0.008 | gpu_forward_sec=0.290 | postprocess_sec=0.013 | fallback_used=0 | fallback_reason=- | time_sec=0.314
