Training config | heldout=DTLZ3 | training_set=1 | envs=24 | workers=24 | reward_scheme=1 | policy=epsilon_greedy | surrogate=tabpfn | ensemble_model=4 | sampling_backend=tabpfn_gpu_sync | epochs=50 | sur_steps=20 | updates_per_epoch=80 | train_device=cuda | rollout_device=cpu | surrogate_device=cuda | lr=1.0e-04 | batch_size=64 | replay_size=50000 | gamma=0.9900 | target_update=20 | log_path=training_logs\tabpfn_trainer_dtlz3_set1_20260520_000018.txt
[Epoch 0001] start | set=1 | heldout=DTLZ3 | envs_active=24/24 | surrogate=tabpfn | ensemble_model=4 | sur_steps=20 | eps=0.300
[TabPFN sync] step=002 | gen=005/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.075 | gen_cycle_sec=4.509 | query_transform_sec=0.464 | batch_prepare_sec=3.417 | gpu_forward_sec=0.927 | postprocess_sec=0.059 | fallback_used=0 | fallback_reason=- | time_sec=4.432
[TabPFN sync] step=002 | gen=006/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.077 | gen_cycle_sec=7.859 | query_transform_sec=0.461 | batch_prepare_sec=3.786 | gpu_forward_sec=3.909 | postprocess_sec=0.057 | fallback_used=0 | fallback_reason=- | time_sec=7.780
[TabPFN sync] step=002 | gen=007/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.075 | gen_cycle_sec=4.495 | query_transform_sec=0.455 | batch_prepare_sec=3.395 | gpu_forward_sec=0.935 | postprocess_sec=0.060 | fallback_used=0 | fallback_reason=- | time_sec=4.418
[TabPFN sync] step=002 | gen=008/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.074 | gen_cycle_sec=7.116 | query_transform_sec=0.462 | batch_prepare_sec=3.021 | gpu_forward_sec=3.932 | postprocess_sec=0.060 | fallback_used=0 | fallback_reason=- | time_sec=7.040
[TabPFN sync] step=002 | gen=009/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.076 | gen_cycle_sec=4.459 | query_transform_sec=0.456 | batch_prepare_sec=3.376 | gpu_forward_sec=0.921 | postprocess_sec=0.058 | fallback_used=0 | fallback_reason=- | time_sec=4.382
[TabPFN sync] step=002 | gen=010/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.075 | gen_cycle_sec=7.034 | query_transform_sec=0.460 | batch_prepare_sec=3.062 | gpu_forward_sec=3.809 | postprocess_sec=0.059 | fallback_used=0 | fallback_reason=- | time_sec=6.957
[TabPFN sync] step=002 | gen=011/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.079 | gen_cycle_sec=4.493 | query_transform_sec=0.459 | batch_prepare_sec=0.514 | gpu_forward_sec=3.813 | postprocess_sec=0.057 | fallback_used=0 | fallback_reason=- | time_sec=4.412
[TabPFN sync] step=002 | gen=012/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.078 | gen_cycle_sec=7.069 | query_transform_sec=0.469 | batch_prepare_sec=3.075 | gpu_forward_sec=3.825 | postprocess_sec=0.060 | fallback_used=0 | fallback_reason=- | time_sec=6.989
[TabPFN sync] step=002 | gen=013/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.076 | gen_cycle_sec=4.566 | query_transform_sec=0.452 | batch_prepare_sec=0.507 | gpu_forward_sec=3.895 | postprocess_sec=0.059 | fallback_used=0 | fallback_reason=- | time_sec=4.488
[TabPFN sync] step=002 | gen=014/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.076 | gen_cycle_sec=7.107 | query_transform_sec=0.462 | batch_prepare_sec=3.135 | gpu_forward_sec=3.808 | postprocess_sec=0.060 | fallback_used=0 | fallback_reason=- | time_sec=7.030
