Training config | heldout=ZDT1 | training_set=1 | envs=24 | workers=24 | reward_scheme=1 | policy=epsilon_greedy | surrogate=tabpfn | sampling_backend=tabpfn_gpu_sync | epochs=50 | sur_steps=10 | updates_per_epoch=80 | train_device=cuda | rollout_device=cpu | surrogate_device=cuda | lr=1.0e-04 | batch_size=64 | replay_size=50000 | gamma=1.0000 | target_update=20 | log_path=training_logs\tabpfn_trainer_zdt1_set1_20260516_134517.txt
[Epoch 0001] start | set=1 | heldout=ZDT1 | envs_active=24/24 | surrogate=tabpfn | sur_steps=10 | eps=0.300
[TabPFN sync] step=012 | gen=007/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=16.474
[TabPFN sync] step=012 | gen=008/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=13.038
[TabPFN sync] step=012 | gen=009/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=13.314
[TabPFN sync] step=012 | gen=010/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=18.295
[TabPFN sync] step=012 | sigma | mode=std | envs=24 | points=1413 | dim=25 | objective_contexts=66 | time_sec=16.668
[TabPFN sync] step=013 | gen=001/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=13.600
[TabPFN sync] step=013 | gen=002/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=16.041
[TabPFN sync] step=013 | gen=003/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=18.609
[TabPFN sync] step=013 | gen=004/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=13.161
[TabPFN sync] step=013 | gen=005/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=13.127
[TabPFN sync] step=013 | gen=006/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=17.422
[TabPFN sync] step=013 | gen=007/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=17.419
[TabPFN sync] step=013 | gen=008/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=13.597
[TabPFN sync] step=013 | gen=009/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=13.758
[TabPFN sync] step=013 | gen=010/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=17.396
[TabPFN sync] step=013 | sigma | mode=std | envs=24 | points=1402 | dim=25 | objective_contexts=66 | time_sec=16.226
[TabPFN sync] step=014 | gen=001/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=13.135
[TabPFN sync] step=014 | gen=002/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=16.767
[TabPFN sync] step=014 | gen=003/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=17.915
[TabPFN sync] step=014 | gen=004/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=14.181
[TabPFN sync] step=014 | gen=005/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=13.981
[TabPFN sync] step=014 | gen=006/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=16.770
[TabPFN sync] step=014 | gen=007/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=16.692
[TabPFN sync] step=014 | gen=008/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=13.074
[TabPFN sync] step=014 | gen=009/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=13.149
[TabPFN sync] step=014 | gen=010/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=18.336
[TabPFN sync] step=014 | sigma | mode=std | envs=24 | points=1371 | dim=25 | objective_contexts=66 | time_sec=16.880
[TabPFN sync] step=015 | gen=001/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=13.644
[TabPFN sync] step=015 | gen=002/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=16.635
[TabPFN sync] step=015 | gen=003/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=17.655
[TabPFN sync] step=015 | gen=004/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=13.160
[TabPFN sync] step=015 | gen=005/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=13.328
